test_year,timestamp,close,cash,btc,equity_before_action,equity,prob_up,y_pred,action
2016,2016-06-18,756.2269897460938,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.028570706,0,HOLD
2016,2016-06-19,763.781005859375,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.03432486,0,HOLD
2016,2016-06-20,737.2260131835938,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.048651528,0,HOLD
2016,2016-06-21,666.6519775390625,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.13172671,0,HOLD
2016,2016-06-22,596.1160278320312,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.36832422,0,HOLD
2016,2016-06-23,623.9769897460938,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.09445904,0,HOLD
2016,2016-06-24,665.2990112304688,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.02296609,0,HOLD
2016,2016-06-25,665.1229858398438,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.015862368,0,HOLD
2016,2016-06-26,629.3670043945312,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.11287959,0,HOLD
2016,2016-06-27,655.2750244140625,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.043811478,0,HOLD
2016,2016-06-28,647.0009765625,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.043724146,0,HOLD
2016,2016-06-29,639.8900146484375,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.060708042,0,HOLD
2016,2016-06-30,673.3369750976562,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.054004744,0,HOLD
2016,2016-07-01,676.2960205078125,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.16583014,0,HOLD
2016,2016-07-02,703.7020263671875,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.09078684,0,HOLD
2016,2016-07-03,658.6640014648438,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.41443783,0,HOLD
2016,2016-07-04,683.6619873046875,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.08677081,0,HOLD
2016,2016-07-05,670.6270141601562,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.35277113,0,HOLD
2016,2016-07-06,677.3309936523438,10648.917359953148,0.0,10648.917359953148,10648.917359953148,0.2383461,0,HOLD
